Homolog;Evalue;Coverage;TaxID;Organism;M;J
UniRef90_R9RFN5;0.0;1.000;470;Acinetobacter baumannii ;Error5;Error5
UniRef90_A0A4V7TGJ5;0.0;1.000;Error2;Error2;Error2;Error2
UniRef90_F0KJQ2;0.0;0.998;871585;Acinetobacter calcoaceticus (strain PHEA-2) ;1;0
UniRef90_UPI0002C9177F;0.0;0.751;470;Acinetobacter baumannii Bouvet and Grimont 1986;Error5;Error5
UniRef90_A0A6S4UL41;0.0;0.730;48296;Acinetobacter pittii ;Error5;Error5
UniRef90_A0A022IXR7;1.33e-164;0.634;1310723;Acinetobacter sp. 1564232 ;0;0
UniRef90_UPI00141DE836;3.18e-152;0.985;2608324;Acinetobacter sp. Tr-809;1;0
UniRef90_N9RW28;8.28e-152;0.979;1217708;Acinetobacter sp. NIPH 2100 ;1;0
UniRef90_A0A3F3GSE2;1.43e-150;0.947;1217674;Acinetobacter radioresistens NIPH 2130 ;1;0
UniRef90_A0A062I8J2;1.54e-149;0.464;1310697;Acinetobacter baumannii 21072 ;0;0
UniRef90_S3TAJ8;1.62e-149;0.981;280145;Acinetobacter colistiniresistens ;1;0
UniRef90_N8Y0L7;6.73e-148;0.943;1217656;Acinetobacter guillouiae NIPH 991 ;1;0
UniRef90_N8WD01;7.32e-148;0.983;1144672;Acinetobacter sp. CIP 56.2 ;1;0
UniRef90_N9L999;2.25e-147;0.985;1217703;Acinetobacter sp. ANC 4105 ;1;0
UniRef90_A0A6I1IZD2;1.14e-145;0.443;2665391;Enterobacteriaceae bacterium TzEc077 ;Error6;Error6
UniRef90_N8WC50;7.27e-144;0.987;1217712;Acinetobacter sp. NIPH 758 ;1;0
UniRef90_N9EE81;2.48e-143;0.987;1217648;Acinetobacter beijerinckii CIP 110307 ;1;0
UniRef90_N9CXF7;4.11e-143;0.936;981324;Acinetobacter bereziniae LMG 1003 = CIP 70.12 ;1;0
UniRef90_A0A241W9G1;1.74e-142;0.979;1977874;Acinetobacter sp. ANC 3832 ;1;0
UniRef90_A0A150HXX9;5.41e-141;0.987;52133;Acinetobacter venetianus ;Error5;Error5
UniRef90_A0A241VN79;9.35e-139;0.977;1977877;Acinetobacter sp. ANC 5054 ;1;0
UniRef90_UPI0005709CDB;3.52e-138;0.987;1561217;Acinetobacter sp. A47;1;0
UniRef90_A0A3S9AV62;8.57e-138;0.968;29430;Acinetobacter haemolyticus ;Error5;Error5
UniRef90_A0A4Q6XBJ1;8.77e-137;0.981;1752076;Acinetobacter halotolerans ;1;0
UniRef90_A0A143G7P0;3.53e-135;0.987;1407071;Acinetobacter sp. TGL-Y2 ;1;0
UniRef90_A0A6G8RZM2;7.79e-134;0.977;2715164;Acinetobacter shaoyimingii ;1;0
UniRef90_A0A241WB84;1.46e-133;0.970;1977872;Acinetobacter sp. ANC 4654 ;1;0
UniRef90_UPI0005C8948C;1.76e-133;0.964;108980;Acinetobacter phenon 1;Error5;Error5
UniRef90_A0A0U3SP51;2.05e-133;0.974;1242245;Acinetobacter johnsonii XBB1 ;1;0
UniRef90_A0A1Y3CPH6;2.14e-133;0.964;1977881;Acinetobacter sp. ANC 4470 ;1;0
UniRef90_A0A1T1GUQ4;2.26e-133;0.977;1960940;Acinetobacter sp. ANC 5600 ;1;0
UniRef90_A0A1A7RAV6;2.63e-133;0.979;1443941;Acinetobacter gandensis ;1;0
UniRef90_N9MY69;3.68e-133;0.985;1217692;Acinetobacter sp. NIPH 298 ;1;0
UniRef90_A0A385CAD9;7.71e-133;0.947;1879050;Acinetobacter wuhouensis ;1;0
UniRef90_S7WV65;1.28e-132;0.981;1330047;Acinetobacter junii MTCC 11364 ;1;0
UniRef90_N9MCL3;6.06e-131;0.981;1144671;Acinetobacter sp. CIP 53.82 ;1;0
UniRef90_A0A178G522;1.60e-127;0.994;1805634;Acinetobacter sp. SFB ;1;0
UniRef90_Q6F926;1.31e-126;0.964;62977;Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) ;1;0
UniRef90_A0A6G8S0F9;4.66e-126;0.987;2715163;Acinetobacter lanii ;1;0
UniRef90_A0A241VJS8;1.89e-125;0.994;1977878;Acinetobacter sp. ANC 4655 ;1;0
UniRef90_A0A1H7RHJ6;1.56e-124;0.970;346222;Acinetobacter sp. DSM 11652 ;1;0
UniRef90_A0A373B5Z3;1.50e-123;0.974;2293834;Acinetobacter sp. SWAC57 ;1;0
UniRef90_A0A3A8EL99;3.89e-123;0.987;2419603;Acinetobacter sp. WCHAc060012 ;1;0
UniRef90_N8Q8V7;7.75e-123;0.964;1217715;Acinetobacter bohemicus ANC 3994 ;1;0
UniRef90_A0A1Y3CYV8;9.05e-123;0.979;1977879;Acinetobacter sp. ANC 4169 ;1;0
UniRef90_UPI00141D5E3F;3.34e-122;0.972;202951;Acinetobacter bouvetii Carr et al. 2003;Error5;Error5
UniRef90_UPI0014905E68;1.23e-121;0.994;2731251;Acinetobacter sp. ANC 5414;1;0
UniRef90_A0A4R0E391;2.71e-121;0.994;2529844;Acinetobacter sp. ANC 4472 ;1;0
UniRef90_A0A3A8F8K2;6.92e-121;0.970;2419605;Acinetobacter sp. WCHAc060007 ;1;0
UniRef90_UPI00057E039C;8.50e-121;0.970;1353941;Acinetobacter harbinensis Li et al. 2014;1;0
UniRef90_A0A4P8DV36;1.42e-120;0.970;2136182;Acinetobacter cumulans ;1;0
UniRef90_A0A2U3MWN3;2.42e-120;0.932;2126983;Acinetobacter stercoris ;1;0
UniRef90_A0A3A8EDT5;1.64e-119;0.962;1843371;Acinetobacter guerrae ;1;0
UniRef90_A0A3A8F6W6;2.02e-119;0.940;2419601;Acinetobacter sp. WCHAc060115 ;1;0
UniRef90_A0A519J7K2;1.49e-118;0.972;472;Acinetobacter sp. ;0;0
UniRef90_N9CPL7;2.91e-118;0.949;1120929;Acinetobacter towneri DSM 14962 = CIP 107472 ;1;0
UniRef90_UPI000B7F6761;6.58e-117;0.943;2006115;Acinetobacter piscicola Liu et al. 2018;1;0
UniRef90_A0A1Y3C446;1.33e-116;0.981;1977883;Acinetobacter sp. ANC 3903 ;1;0
UniRef90_UPI00140DE1AA;5.31e-116;0.972;469;Acinetobacter Brisou and Prevot 1954;Error5;Error5
UniRef90_UPI00148FD6F9;8.78e-116;0.979;2731243;Acinetobacter sp. NIPH 2377;1;0
UniRef90_A0A4V2LRN5;5.07e-115;0.983;2529835;Acinetobacter sp. ANC 3781 ;1;0
UniRef90_A0A1C3CXG6;5.43e-114;0.974;1891224;Acinetobacter celticus ;1;0
UniRef90_N9DQ98;2.09e-111;1.000;1120925;Acinetobacter bouvetii DSM 14964 = CIP 107468 ;1;0
UniRef90_UPI000DCFA31B;3.27e-111;0.970;2069438;Acinetobacter sp. MB5;1;0
UniRef90_A0A515BH83;1.05e-105;0.972;202954;Acinetobacter tandoii ;Error5;Error5
UniRef90_A0A2D1ISF6;1.20e-105;0.940;1808001;Acinetobacter sp. LoGeW2-3 ;1;0
UniRef90_A0A4V2LRE0;8.10e-105;0.968;2529840;Acinetobacter sp. ANC 4216 ;1;0
UniRef90_R9B7T0;9.80e-104;0.970;1120927;Acinetobacter tandoii DSM 14970 = CIP 107469 ;1;0
UniRef90_A0A178GJB4;1.16e-103;0.940;1805635;Acinetobacter sp. SFD ;1;0
UniRef90_A0A241WBW8;7.53e-103;0.949;1977873;Acinetobacter sp. ANC 3813 ;1;0
UniRef90_N8WK35;1.23e-102;0.957;1217675;Acinetobacter schindleri NIPH 900 ;1;0
